№;Код;Дата завершения;Потрачено времени;Место обучения;ФИО;Возраст;Пол;Учебная группа;Макиавеллизм ;Нарциссизм ;Психопатия ;Cадизм ;Экстраверсия;Доброжелательность;Добросовестность;Нейротизм;Открытость опыту;Равнодушие к роскоши;Порядочность;Скромность;Искренность;Физическая агрессия ;Гнев ;Враждебность;Проактивная агрессия;Реактивная агрессия;РА1_Кричал(-а) на других, когда они меня раздражали. ;ПА2_Вступал(-а) в конфликт с другими, чтобы показать, кто главный. ;РА3_Злобно реагировал(-а) на провокации со стороны окружающих.;ПА4_Отбирал(-а) вещи у других.;РА5_Злился(-лась), когда не мог(-ла) получить желаемое.;ПА6_Портил(-а) чужое или общественное имущество ради развлечения.;РА7_У меня были вспышки гнева. ;РА8_Портил(-а) вещи, когда злился(-лась). ;ПА9_Участвовал(-а) в групповых драках, чтобы почувствовать себя крутым(-ой).;ПА10_Причинял(-а) боль другим, чтобы одержать победу в игре.;РА11_Злился(-лась), выходил(-а) из себя, когда что-то шло не так.;ПА12_Применял(-а) физическую силу, чтобы заставить других делать то, что мне надо.;РА13_Злился(-лась), выходил(-а) из себя, когда проигрывал(-а) в игре.;РА14_Злился(-лась), когда другие мне угрожали.;ПА15_Использовал(-а) силу, чтобы завладеть деньгами или вещами других людей.;РА16_Чувствовал(-а) себя лучше после того, как ударил(-а) кого-то или накричал(-а) на кого-то. ;ПА17_Запугивал(-а), участвовал(-а) в травле кого-либо.;ПА18_Совершал(-а) непристойные или оскорбительные телефонные звонки ради развлечения.;РА19_Бил(-а) других, чтобы защитить себя. ;ПА20_Принуждал(-а) других объединиться против кого-то. ;ПА21_Носил(-а) с собой оружие, чтобы использовать в случае драки. ;РА22_Злился(-ась) или выходил(-а) из себя или бил(-а) других, когда надо мной подшучивали. ;ПА23_Кричал(-а) на других, чтобы они сделали то, что мне надо. 
1;585281;18.04.2023 16:35;0:27:38;Школа;6PU5;16;Муж;10А;4;3;2,285714286;3,714285714;1,833333333;2,833333333;3;4;4,166666667;2,5;1,666666667;2,5;2,333333333;3,666666667;3,571428571;4,5;0;14;2;0;1;0;1;0;2;2;0;0;1;0;1;2;0;0;0;0;1;0;0;1;0
2;585250;18.04.2023 16:12;0:17:41;Школа;3RH3;17;Жен;10А;4;3,714285714;3;3;3;3,333333333;2,833333333;3,5;4;2;2;3;1,666666667;2;3,714285714;3,625;3;11;1;0;1;0;2;0;1;0;0;0;2;1;1;1;0;0;0;0;1;1;0;1;1
3;584609;18.04.2023 15:46;3:03:33;Школа;1RE5;16;Жен;10;4,142857143;4,571428571;3,714285714;2,857142857;3,666666667;3,5;2,166666667;4;4,166666667;1,5;2;1,5;1,666666667;2,555555556;4,571428571;3,625;5;10;1;0;1;1;1;1;2;2;0;0;2;0;1;0;0;0;1;1;0;0;0;0;1
4;584238;18.04.2023 10:16;0:28:17;Школа;Подруга;17;Жен;10А;4,428571429;3,571428571;3,142857143;3,714285714;3,833333333;2,5;4;4,333333333;3;2,5;5;2;4;2,666666667;4,428571429;2,625;8;17;2;2;2;0;2;0;2;1;0;2;2;0;1;1;0;2;1;0;0;1;0;2;2
5;584007;18.04.2023 9:06;0:20:07;Школа;1MN3;16;Жен;9Б;4,142857143;3,571428571;3;4,428571429;4,166666667;3;3,666666667;2,166666667;3,333333333;1;5;1;2,333333333;3,666666667;3,428571429;3,375;4;12;2;2;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0
6;584006;18.04.2023 9:02;0:17:10;Школа;4JR4;15;Жен;9Б;2,428571429;2;2,142857143;2,428571429;3,166666667;3,833333333;3,333333333;3;3;2,5;3;4;2,666666667;2,222222222;3,428571429;3,375;0;6;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;583999;18.04.2023 9:03;0:20:48;Школа;4TN3;16;Муж;10А;4,428571429;3,285714286;2,571428571;3,142857143;2,833333333;3,333333333;2,833333333;2,5;2,333333333;1,5;3;2,5;3,333333333;2,555555556;2;1,75;5;6;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1
8;583998;18.04.2023 9:12;0:31:45;Школа;5UA7;15;Жен;9Б;3,428571429;4,285714286;2,857142857;2,714285714;4,166666667;2,833333333;4,166666667;1,666666667;4,166666667;2,5;4,666666667;2;3;2,444444444;2,428571429;2,875;1;8;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
9;583996;18.04.2023 8:59;0:18:21;Школа;6TK6;16;Жен;9Б;1,571428571;3,571428571;1,714285714;2,285714286;4,166666667;3,833333333;3,666666667;2,166666667;5;4;4,666666667;2,5;4,333333333;1,777777778;2,571428571;1,875;0;6;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
10;583995;18.04.2023 9:00;0:22:38;Школа;6TC8;17;Муж;10А;3,142857143;3,428571429;1,428571429;1,857142857;3,5;3,5;2,166666667;2,666666667;2,833333333;3;5;3;3;2,111111111;1,428571429;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
